,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,tonic
0,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-1,0.039210696,0.30443278,1835.2125761507543,2130.093248959522,3940.138674520487,0.0660810441055534,-273.55838,105.4799,-0.5940223,12.309791,-16.901134,7.8374963,-23.616688,-10.624638,-7.139,-10.46548,-11.061309,0.31322315,-13.270313,-2.142139,-3.2244604,-7.9351726,-8.319057,1.5360788,-5.849991,-0.49120772,138.591315
1,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-2,0.04266863,0.3143933,1852.470448232171,2130.93907843836,4013.9786956170296,0.06763682213967757,-253.24219,111.08825,-2.1428387,11.820365,-21.803244,11.326905,-21.966167,-9.896354,-7.914712,-10.263292,-9.919434,1.3532671,-13.33877,-2.6858299,-3.9635158,-6.500281,-10.508757,2.1298485,-7.6297398,-1.1255265,138.591315
2,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-1,0.034888115,0.226291,1640.150033432173,1982.231740147695,3348.6630844257934,0.0564701800744969,-335.49948,94.87805,-8.0653,10.03362,-11.601803,3.1045601,-22.043242,-12.549312,-10.799947,-9.581212,-6.240772,-5.8030105,-12.979402,-8.670587,-3.840614,-5.695222,-9.5436125,-0.7753961,-2.8760948,-6.081384,138.591315
3,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-2,0.041602142,0.2520897,1769.4723314440373,2028.6770702796457,3634.1071917176614,0.06518138968169504,-287.55307,101.30638,-3.7343228,13.693846,-15.765569,7.0286665,-17.31296,-10.811046,-8.322134,-8.987951,-6.338234,-4.3001947,-12.113589,-7.8681874,-3.8215363,-5.3319545,-9.344995,0.41088462,-3.7273161,-6.4441514,138.591315
4,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-3,0.046944372,0.24723716,1948.608816511276,2146.9224663895147,4106.875166287732,0.07434554439580109,-268.69193,94.89448,-6.960094,12.319439,-20.179087,8.702815,-20.273682,-9.50315,-9.267448,-8.686119,-7.486854,-2.4677446,-11.053933,-6.176668,-2.0822885,-5.1289096,-10.098645,0.19326022,-4.0077186,-6.132918,138.591315
5,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-4,0.035257,0.24957357,1599.7620263882054,1955.4565731267624,3291.4800968701625,0.056539340654024765,-314.60037,107.73805,-4.4610424,14.642168,-13.694666,7.098279,-19.46141,-11.460557,-12.860255,-10.500358,-6.308915,-5.358577,-13.393408,-8.528322,-3.5144134,-5.651198,-9.465425,-1.2415346,-3.3216484,-6.471955,138.591315
6,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-5,0.03829728,0.26234284,1822.2187134669496,2122.6634563794564,3878.5973799856088,0.06311809905911378,-284.31052,102.20871,-5.891149,18.296558,-10.862587,7.451924,-23.81518,-11.471303,-9.968774,-11.219687,-9.098689,-1.1944997,-12.971648,-5.253195,-2.216587,-5.902735,-10.34869,0.023335766,-5.590138,-6.9268236,138.591315
7,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-6,0.04272328,0.26188397,1910.345060632588,2143.897825081265,4019.1631966700124,0.07370628144349846,-267.20718,101.548035,-3.4438114,11.862807,-23.522663,6.370391,-21.558336,-9.041436,-9.475075,-10.142662,-9.095107,0.12147461,-10.131975,-6.229942,-0.9786506,-4.4657907,-8.994862,2.585006,-4.374863,-4.8444643,138.591315
8,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-7,0.038265396,0.25710338,1660.3971737334252,2003.398437823326,3505.1163050412392,0.05832579999516254,-295.9752,108.89592,-2.2803562,15.124217,-15.140084,8.049084,-17.320469,-9.595013,-12.17792,-11.128477,-5.6450753,-4.5812683,-13.689549,-7.561733,-3.2867851,-3.3264556,-7.4728994,0.4819528,-3.4308002,-6.5252166,138.591315
9,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-8,0.017109774,0.2930424,1494.6272566795305,1897.0928589605546,2866.1182750355115,0.053788618607954544,-412.6451,121.70274,1.385066,16.8943,2.1256635,8.2889385,-11.68493,-4.956016,-12.02663,-11.344279,-7.829365,-4.8185015,-9.466706,-3.5720809,-3.7912233,-1.0250252,-4.2640452,-1.3217667,1.9881837,3.3499582,138.591315
10,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-1,0.046490204,0.26925597,1915.498382749644,2149.059036545116,4056.054640259167,0.07024938624709752,-251.67802,99.815414,-11.710671,9.565061,-19.503574,2.2506142,-27.398891,-9.352037,-8.775279,-7.488812,-4.1305037,1.2637796,-14.780046,-3.867076,-5.845952,-8.133053,-9.233917,4.0232763,-7.88981,-4.6120815,138.591315
11,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-2,0.050488424,0.27385545,1809.2691825090342,2105.9084828344476,3846.1142430733603,0.06734350812693499,-244.40402,107.969086,-6.714082,3.861624,-22.872675,5.750971,-23.288605,-10.79911,-9.285316,-4.572391,-7.1107802,-1.8087833,-12.816496,-5.0151534,-3.7902298,-6.371328,-9.401669,3.8185015,-7.2087684,-5.66847,138.591315
12,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-3,0.052462168,0.28418094,1726.69532462058,2068.7941302007207,3593.4574375211637,0.06215060679905186,-244.8659,113.91379,-2.7391582,6.547324,-18.052744,4.7113953,-22.548761,-9.57301,-10.616287,-10.32727,-8.394939,0.33484897,-12.525907,-5.0165534,-4.534841,-6.060557,-6.818756,1.7342982,-5.9843764,-5.076344,138.591315
13,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-4,0.041260384,0.289079,1825.862952135122,2081.8334416655916,3792.581233446812,0.07237484580592106,-267.59088,109.174126,-8.52802,6.0695367,-19.470932,6.186809,-17.036518,-10.909664,-10.227511,-8.222126,-6.22643,0.4469716,-10.419572,-3.6444557,-6.1847105,-3.916478,-5.02089,3.8108659,-6.460595,-1.8907273,138.591315
14,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-5,0.040566064,0.26032177,1507.2261056119048,1862.1505436016614,2888.294052496189,0.05678055926067073,-291.90283,122.112076,-11.384015,11.478667,-14.760816,7.077596,-19.525703,-15.736732,-11.637044,-5.147611,1.5636244,-2.4134812,-12.988643,-4.3783693,-5.0759287,-4.176868,-10.819395,-0.7094872,-2.4683428,-4.3608036,138.591315
15,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-1,0.020306883,0.23742056,1451.2445089825917,1808.7352841266772,2796.812254725595,0.052969823311726005,-385.43338,113.0036,-22.354942,16.433918,-3.4534628,0.10356405,-26.959305,-17.419498,-6.623259,-7.806208,-5.4381094,-3.808466,-10.841555,-4.0520225,-5.335409,-7.696829,-13.539235,-2.924242,-2.3233967,-5.0636973,138.591315
16,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-2,0.021989547,0.25162748,1550.1326878497853,1827.0984133223367,3055.7148558436534,0.05991120235100619,-363.21832,108.12415,-25.349102,11.198035,-12.9482,1.0899317,-28.0491,-20.389864,-4.596502,-6.9685445,-4.768924,-2.7563481,-12.467149,-5.63775,-3.922568,-11.910971,-15.288404,-0.6118151,-5.698666,-4.1826677,138.591315
17,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-3,0.02721358,0.24107736,1791.8094437448074,1966.8813889854953,3607.074021850208,0.06940736563951239,-332.3126,90.978775,-31.756132,3.519408,-20.57485,-2.5281756,-29.816439,-19.035135,-8.5762415,-4.1359487,-7.055377,-5.3350377,-15.33939,-7.1008897,-6.04181,-10.74606,-11.183213,3.3829448,-5.5615425,-3.6431987,138.591315
18,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-4,0.024361327,0.21078393,2197.8591344764754,2097.255634388239,4337.840436339009,0.09002345412877322,-356.52377,64.94209,-29.281033,10.148404,-29.688202,1.6399927,-35.232334,-20.901182,-5.225539,-8.81636,-10.181166,-3.2045348,-14.243288,-8.442921,-0.58787596,-9.837322,-9.802718,5.5170956,-6.2562118,-0.81813544,138.591315
19,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-5,0.028339447,0.2361499,2146.4048705553396,2142.2124924359405,4485.86870789897,0.08050707176373839,-323.2871,72.492,-29.49928,-4.0110354,-39.562893,4.6254187,-31.274593,-18.312601,-7.4516864,-2.2013576,-11.656977,-6.1396203,-14.012194,-8.382428,-3.560027,-9.653744,-8.193217,4.556133,-4.9926057,-1.9662915,138.591315
20,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-6,0.026007455,0.22099371,2191.8229681420885,2126.9093401651526,4277.469968057639,0.08980954763690016,-363.6647,62.10415,-25.48531,1.4834857,-28.566685,1.7229575,-29.405058,-20.354757,-6.4649377,-5.755576,-12.525879,-4.8115244,-9.388208,-9.922345,-2.9603093,-7.963946,-8.754609,2.143109,-2.5751834,0.49491432,138.591315
21,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-7,0.030889949,0.24304652,2223.5015253162187,2153.256885703515,4494.156157785894,0.08985149749661378,-334.29553,62.97891,-26.655706,-5.278828,-36.657326,5.691216,-31.273375,-19.698978,-4.5668554,-3.5948803,-14.956017,-4.903903,-10.778956,-8.626308,-3.053434,-8.792843,-8.180961,2.5054157,-2.917206,6.058648,138.591315
22,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-8,0.039234575,0.23843151,2291.0759103353844,2192.8731052235835,4700.367410854658,0.08805218864889706,-307.15552,58.48383,-35.140152,-11.34251,-44.457333,4.7167945,-29.892319,-19.525774,-4.498145,0.17331971,-13.473956,-7.6314087,-13.631368,-8.327768,-3.4658701,-9.594532,-10.709533,4.402062,0.039034296,5.045121,138.591315
23,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-9,0.03386893,0.23301782,1892.9784379674556,2051.1853731133083,3927.859582103812,0.06855778649864551,-318.65002,82.72087,-27.982004,2.4041102,-26.674154,2.4490483,-30.554626,-18.14847,-9.109535,-3.8891904,-10.479146,-7.5172567,-15.816399,-8.338189,-3.6709416,-12.524244,-11.484183,0.65098846,-6.1224384,-4.5601454,138.591315
24,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-10,0.020339634,0.23521595,1462.8261754242599,1819.1570735299103,2866.345167602917,0.050623843544407895,-395.13654,110.933174,-19.900715,19.213326,-2.433338,3.6943405,-19.751457,-16.291042,-8.51091,-7.169828,-8.075932,-7.6761494,-11.614717,-4.3829184,-6.556849,-5.619692,-8.060728,-4.12495,-3.2169137,-4.3305078,138.591315
25,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-11,0.008263281,0.20951873,1378.5018356606495,1640.957982807185,2490.676605885981,0.05450836276122291,-485.4556,119.25992,-29.288597,10.298572,-5.706519,-5.2866855,-8.934607,-22.41808,-10.723041,-7.510613,-19.17725,-14.331982,-4.965713,-5.543356,-6.8251834,3.8257916,-0.84965074,0.04803741,1.7484696,5.6594715,138.591315
26,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-12,0.008420346,0.21386814,1494.495291704827,1712.3074035916961,2741.987586242865,0.0638371045375387,-474.0354,109.55649,-30.247473,7.5230923,-9.358736,-5.4969544,-8.27838,-20.793312,-14.144746,-9.6984005,-18.596611,-14.108589,-4.2511024,-4.515801,-7.659163,4.939467,4.46129,2.0717845,4.066912,10.065716,138.591315
27,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-13,0.009446031,0.20560908,1754.1244416533134,1890.0057689197004,3301.0300391229684,0.07956905778347523,-453.99854,94.03783,-28.170662,5.6056,-18.352446,-4.4986167,-8.737068,-18.084986,-16.88236,-10.488575,-16.580936,-11.666019,-4.9421997,-1.3949063,-3.316197,13.548983,10.29476,8.77169,4.291455,7.4132566,138.591315
28,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-14,0.010099907,0.1912672,1848.915324644828,1974.1545882866374,3601.069891489696,0.08398418603666796,-448.9384,87.465904,-20.474848,4.579716,-22.665972,-4.2644277,-8.90301,-15.370566,-17.706955,-15.283546,-16.639887,-8.983636,-0.96773845,4.1464267,0.975723,12.947766,4.865124,3.698704,1.9833342,6.047296,138.591315
29,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-15,0.012435544,0.1737518,2260.1979095329166,2135.698423613422,4349.461199403178,0.11066335199787151,-422.2224,63.56066,-22.319818,4.5443764,-26.7706,-2.5988467,-8.702747,-16.121593,-21.732899,-14.181777,-10.417143,2.9529288,5.1552954,5.8064313,-3.5454116,9.808344,2.6463175,4.1036105,-1.7648067,3.50543,138.591315
30,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-16,0.012349231,0.19887784,1789.3692160325936,1901.090878413636,3417.4793349700076,0.07789049650493421,-430.57327,88.62212,-27.943298,8.247586,-16.83295,-2.4211922,-8.248003,-17.039259,-16.025948,-12.343936,-19.861298,-11.235435,-0.55497843,0.34428802,-5.57565,8.706447,5.824976,4.363617,1.6144567,8.592302,138.591315
