,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,raga
0,0.031511366,0.31760347,1708.003423909435,2073.2551147274803,3612.529119128078,0.060923280246252674,-322.84384,109.45986,-2.0445466,7.518317,-11.074581,5.3133793,-22.433043,-11.289671,-8.702506,-8.501856,-9.121346,-2.4496274,-11.605868,purna chandrika
1,0.031511366,0.31760347,1708.003423909435,2073.2551147274803,3612.529119128078,0.060923280246252674,-322.84384,109.45986,-2.0445466,7.518317,-11.074581,5.3133793,-22.433043,-11.289671,-8.702506,-8.501856,-9.121346,-2.4496274,-11.605868,purna chandrika
2,0.044276357,0.3382397,1690.2411431579674,2038.2451461277378,3691.999088262848,0.06004186462794433,-244.12135,118.93451,-5.504768,12.037164,-20.277803,9.172882,-22.39833,-12.889206,-6.1941967,-10.40805,-11.628651,0.3684446,-13.271334,purna chandrika
3,0.033655334,0.28371522,1707.1629496265011,2062.9051047734542,3553.4857216943255,0.06313779777837258,-298.48642,111.78105,0.3300661,12.399558,-15.397969,5.719809,-20.228254,-10.876356,-11.663798,-9.16331,-11.074247,-1.787798,-10.51955,purna chandrika
4,0.05118785,0.28782982,2224.9452399059296,2284.79985473604,4762.157784896948,0.0805559505487152,-224.02823,87.893936,-7.011757,16.92264,-22.737362,11.5276165,-34.319733,-6.6228523,-3.180579,-10.729729,-11.729634,4.4597926,-18.696102,purna chandrika
5,0.03967566,0.31178656,1940.1685157520424,2195.0973899887335,4273.649175672511,0.06931711723768737,-251.25723,106.55063,-2.970815,11.02727,-20.746483,9.867362,-23.283243,-12.254211,-5.4045424,-9.534211,-11.839189,2.358847,-14.105414,purna chandrika
6,0.041926514,0.2980629,1659.6462670892902,2116.253990642257,3619.0305787439775,0.054023562968415414,-292.6514,113.94553,13.516139,18.40115,-13.691668,11.1253805,-23.66162,-6.1783442,-9.743472,-15.642095,-12.804997,1.3947318,-15.434963,purna chandrika
7,0.04624555,0.31452674,1923.4330906955638,2199.456333420589,4286.283217762982,0.0642680590872591,-237.3,109.57978,1.1045201,12.12879,-22.831182,14.06861,-28.05353,-8.900615,-5.956145,-11.639994,-9.424195,1.4955978,-17.05604,purna chandrika
8,0.04874133,0.31591356,1856.5790807776705,2114.037200708289,4059.262392097163,0.06777071901766596,-228.3306,115.46594,-3.7625484,8.341998,-28.193958,13.545607,-21.642056,-12.4028225,-7.5247183,-5.28218,-7.0241466,2.4892547,-13.022509,purna chandrika
9,0.04303667,0.32294425,1928.4787559483366,2152.4870219371323,4203.0553127509365,0.07227817184154176,-229.70798,109.31964,-10.168891,10.280636,-23.43075,11.130614,-20.728638,-11.493748,-8.872084,-9.676456,-10.660549,2.4805362,-11.218658,purna chandrika
