,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
0,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-1,0.036125544,0.31461748,1678.052351398197,2043.822572567302,3558.4784823674536,0.060711651025541796,-289.4021,112.68056,-1.4873744,9.573534,-14.920397,5.9961896,-21.022835,-12.109213,-8.539513,-9.693305,-10.269388,-1.7287023,-11.217983,-2.0627306,-3.4995987,-5.746368,-9.015641,0.54073673,-5.0434933,-1.0093707,purna chandrika
1,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-2,0.04228281,0.29276168,1991.6298502961083,2215.918841515946,4319.607213259482,0.0713971495259288,-258.0431,98.57915,0.18578856,15.158799,-19.02221,9.821283,-26.31627,-9.057816,-5.8070264,-11.171787,-11.922898,2.4312778,-15.400543,-2.1477466,-3.013281,-10.064692,-7.683028,2.6008294,-6.6941395,0.07394538,purna chandrika
2,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-3,0.049167916,0.31563756,1854.4887904473205,2143.239602808958,4089.6086040296054,0.06429741921439629,-230.32953,113.59367,-0.87923276,11.103252,-24.045418,13.610194,-24.492794,-10.0696535,-7.1693964,-9.666968,-8.899794,2.2798276,-15.126454,-4.335435,-4.146371,-7.428311,-12.013571,2.2546446,-9.349637,-2.7459903,purna chandrika
3,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika.mp3.mp3-4,0.03191299,0.30768442,1848.7441475218643,2110.766359866813,3889.332079705391,0.07303283536100509,-291.51895,107.70536,-4.5020123,13.294169,-18.47186,7.8117976,-18.00198,-9.39308,-9.383047,-11.061966,-11.716354,0.0071427827,-10.572691,0.18809046,-3.788602,-4.7423277,-8.176735,2.0438,-4.919548,1.5987282,purna chandrika
4,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-1,0.09700341,0.30402946,1539.7957992433114,1720.5897242909884,2988.915259771672,0.07152677837171052,-184.99554,129.92226,-31.881401,23.55177,-4.7967925,-2.8262098,-11.040045,-7.0889096,-23.40347,-10.748215,-13.501285,-1.440664,-2.150023,-6.651202,-0.9293107,0.4843942,-8.808818,-5.2317595,-3.0922325,-5.6146593,purna chandrika
5,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-2,0.15889028,0.33271164,1512.3776061088304,1740.6683695541765,2949.1238337183145,0.06543497847329721,-119.86446,133.4713,-30.463448,25.091969,-1.4492455,-3.8041606,-11.347736,-7.2073874,-25.09797,-2.268334,-10.286624,1.6110007,-1.6842228,-3.6316152,2.441759,2.4689481,-10.227779,-3.8861117,-0.86893463,-5.397634,purna chandrika
6,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-3,0.11433708,0.2870117,1372.7747456250772,1702.1079562058753,2717.4835677486453,0.05629784551567337,-182.13365,132.11537,-22.672016,29.126034,-3.7919502,1.6636373,-5.4754148,-4.329108,-23.26444,-5.713717,-9.624814,-0.57695305,-1.4219736,-6.5085,-1.0193835,0.57376564,-8.022847,-6.4450064,-3.583719,-5.3803,purna chandrika
7,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-4,0.16972971,0.31442183,1536.579866832494,1748.5098693900263,2971.3236994787635,0.06413037562886997,-116.24018,129.58324,-29.726465,29.881548,-1.1859019,-3.6258779,-10.613243,-1.4869252,-25.417208,-2.3055925,-10.609773,-0.7173367,-3.0246985,-6.0156446,-0.25599813,2.431674,-7.9051003,-4.041084,-2.3128002,-4.8826175,purna chandrika
8,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-5,0.162811,0.35371995,1537.8152909675537,1728.1786857236987,2944.140530518334,0.06854229150541796,-117.10739,132.98528,-32.416542,25.842443,-1.8494799,-3.5526445,-13.096966,-5.8052793,-22.064749,-3.103923,-14.7022,1.1080767,-2.4377537,-6.4427123,-1.9154744,1.5831233,-10.10867,-2.3279326,-2.533985,-4.399223,purna chandrika
9,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-6,0.13059324,0.3126905,1491.9568739214358,1693.0728056493083,2895.182493227554,0.06782045157701239,-147.75342,133.89655,-32.99855,25.263111,-3.8722022,-1.4665593,-12.827859,-7.291859,-25.508472,-4.2235823,-10.671417,0.08965519,-0.6738165,-5.873552,0.87805593,0.7949026,-8.770018,-4.6019993,-2.6209612,-4.4545546,purna chandrika
10,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-7,0.15722515,0.3122386,1471.7414111391502,1694.5622732243667,2872.1826323045666,0.0640188872629644,-122.90906,134.44373,-32.32982,25.188808,-6.434194,-2.036003,-9.327766,-5.408055,-26.024202,-1.9842558,-9.802503,0.61992764,-1.0214363,-5.476354,-0.77978414,2.1287646,-8.5143795,-3.256436,-2.0576887,-5.074063,purna chandrika
11,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-8,0.16719827,0.34859085,1510.2980282062156,1721.756309932996,2889.1325298108554,0.06461676724554953,-112.15226,133.52808,-32.321857,26.453144,-1.1971256,-3.1745915,-12.003686,-4.945142,-22.518465,-2.454152,-13.3137045,-0.01323159,-2.717163,-5.5495334,-1.9941837,0.62486386,-10.057305,-2.9273753,-2.6756642,-4.4587994,purna chandrika
12,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-9,0.13284822,0.295575,1426.736917476405,1648.6592906162607,2785.274824490857,0.06297467589009288,-157.30367,133.93288,-32.2965,26.136795,-5.363483,-1.1252872,-12.855272,-10.017678,-25.378265,-7.750925,-11.4963,-1.284651,-1.3631855,-7.966573,0.5857438,1.3366692,-9.7554655,-5.197506,-1.8457977,-4.6085653,purna chandrika
13,carnatic/Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama.mp3.mp3-10,0.09417451,0.3853277,1129.0262843689538,1596.6254742534722,2005.6306258491848,0.04141140576475155,-216.11082,153.205,-4.2625613,17.693102,-2.767903,9.2536125,-7.26189,-1.6420777,-9.560213,-9.483122,-10.384941,-2.2653635,-5.0888195,-5.9600215,-3.7521608,-0.48287073,-4.9912558,-3.7235858,-4.8195634,-3.8553345,purna chandrika
14,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-1,0.02196009,0.2113259,1536.9192904210474,1947.4031371177573,3103.7395654448046,0.04873326540731424,-403.86182,96.5194,-12.194524,14.111228,-4.123642,1.6126955,-26.044714,-12.9029875,-12.591076,-11.1469755,-6.222567,-6.623299,-12.940505,-7.5041943,-4.3351135,-5.510861,-11.044141,-3.6036713,-1.5715642,-5.7094364,surati
15,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-2,0.047812115,0.24210116,1744.2282717064204,2018.326107904124,3595.828256518479,0.06421049608165634,-276.91678,103.39674,-8.692881,8.912113,-21.977215,7.3084683,-19.711487,-11.668365,-9.680349,-7.400386,-6.5128236,-4.472375,-13.760905,-9.312523,-3.7120311,-5.33049,-8.363441,1.7268435,-3.7533438,-6.760969,surati
16,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-3,0.04754828,0.2475363,1745.281863305037,2028.5999373128673,3639.036328578512,0.06463717528541021,-268.1134,105.78304,-6.9954724,9.334801,-25.358229,8.53002,-17.278296,-11.509982,-10.338599,-6.440564,-5.163065,-4.002084,-13.425857,-8.576625,-2.3624835,-5.161986,-10.2704115,2.152636,-5.1010604,-6.436499,surati
17,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-4,0.03564782,0.25367284,1793.809042789775,2029.1229809216265,3629.6197188527963,0.06568176458494582,-307.8206,97.9275,-1.3549333,18.840385,-6.883,6.210727,-17.923536,-9.612338,-6.7154,-11.198739,-7.8008432,-4.2871456,-11.096058,-6.881693,-5.4977508,-5.3195662,-8.592359,-1.1767565,-2.4878442,-6.328807,surati
18,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-5,0.043010987,0.24653366,2036.9065148868585,2160.808371175718,4232.341074279218,0.08027048967202012,-278.9699,88.66599,-8.158415,13.981241,-19.554928,8.200149,-21.019463,-10.357041,-7.3380027,-9.355736,-8.045596,-2.5645912,-11.397598,-6.301875,-2.2443986,-5.243296,-9.593865,1.1540632,-3.602526,-5.500603,surati
